DATE,LT COMPOSITE (>10 yrs),TREASURY 20-yr CMT,EXTRAPOLATION FACTOR
01/03/00,6.87,6.94,
01/04/00,6.78,6.84,
01/05/00,6.89,6.95,
01/06/00,6.81,6.86,
01/07/00,6.77,6.82,
01/10/00,6.8,6.86,
01/11/00,6.89,6.94,
01/12/00,6.91,6.97,
01/13/00,6.83,6.88,
01/14/00,6.86,6.91,
01/18/00,6.9,6.94,
01/19/00,6.87,6.91,
01/20/00,6.9,6.93,
01/21/00,6.87,6.91,
01/24/00,6.82,6.86,
01/25/00,6.8,6.84,
01/26/00,6.74,6.79,
01/27/00,6.68,6.73,
01/28/00,6.6,6.65,
01/31/00,6.67,6.72,
02/01/00,6.62,6.66,
02/02/00,6.56,6.61,
02/03/00,6.46,6.52,
02/04/00,6.49,6.54,
02/07/00,6.57,6.62,
02/08/00,6.46,6.51,
02/09/00,6.55,6.6,
02/10/00,6.63,6.67,
02/11/00,6.58,6.62,
02/14/00,6.5,6.55,
02/15/00,6.54,6.59,
02/16/00,6.55,6.6,
02/17/00,6.5,6.55,
02/18/00,6.42,6.47,
02/22/00,6.34,6.39,
02/23/00,6.4,6.45,
02/24/00,6.38,6.43,
02/25/00,6.43,6.47,
02/28/00,6.42,6.47,
02/29/00,6.41,6.46,
03/01/00,6.43,6.48,
03/02/00,6.4,6.45,
03/03/00,6.37,6.41,
03/06/00,6.41,6.46,
03/07/00,6.41,6.46,
03/08/00,6.43,6.48,
03/09/00,6.42,6.47,
03/10/00,6.47,6.52,
03/13/00,6.45,6.5,
03/14/00,6.38,6.43,
03/15/00,6.35,6.39,
03/16/00,6.32,6.37,
03/17/00,6.28,6.33,
03/20/00,6.26,6.31,
03/21/00,6.24,6.28,
03/22/00,6.25,6.3,
03/23/00,6.2,6.25,
03/24/00,6.29,6.36,
03/27/00,6.29,6.35,
03/28/00,6.28,6.34,
03/29/00,6.3,6.35,
03/30/00,6.2,6.26,
03/31/00,6.14,6.2,
04/03/00,6.13,6.19,
04/04/00,6.06,6.12,
04/05/00,6.09,6.14,
04/06/00,6.07,6.12,
04/07/00,5.99,6.04,
04/10/00,5.98,6.04,
04/11/00,6.07,6.13,
04/12/00,6.14,6.19,
04/13/00,6.11,6.16,
04/14/00,6.08,6.12,
04/17/00,6.22,6.26,
04/18/00,6.21,6.26,
04/19/00,6.13,6.18,
04/20/00,6.12,6.16,
04/24/00,6.16,6.2,
04/25/00,6.23,6.27,
04/26/00,6.24,6.28,
04/27/00,6.29,6.34,
04/28/00,6.27,6.31,
05/01/00,6.28,6.33,
05/02/00,6.34,6.39,
05/03/00,6.43,6.49,
05/04/00,6.52,6.59,
05/05/00,6.55,6.61,
05/08/00,6.62,6.69,
05/09/00,6.58,6.64,
05/10/00,6.51,6.56,
05/11/00,6.49,6.54,
05/12/00,6.56,6.62,
05/15/00,6.51,6.56,
